universal_label,nes_address,nes_size,snes_address,snes_size,gba_address,gba_size,category,description
Temp_Var1,$0000,1,$7E0000,1,,0,Misc.,Temporary storage variable (protected from damage by NMI)
Temp_Var2,$0001,1,$7E0001,1,,0,Misc.,Temporary storage variable (protected from damage by NMI)
Temp_Var3,$0002,1,$7E0002,1,,0,Misc.,Temporary storage variable (protected from damage by NMI)
Temp_Var4,$0003,1,$7E0003,1,,0,Misc.,Temporary storage variable
Temp_Var5,$0004,1,$7E0004,1,,0,Misc.,Temporary storage variable
Temp_Var6,$0005,1,$7E0005,1,,0,Misc.,Temporary storage variable
Temp_Var7,$0006,1,$7E0006,1,,0,Misc.,Temporary storage variable
Temp_Var8,$0007,1,$7E0007,1,,0,Misc.,Temporary storage variable
Temp_Var9,$0008,1,$7E0008,1,,0,Misc.,Temporary storage variable
Temp_Var10,$0009,1,$7E0009,1,,0,Misc.,Temporary storage variable
Temp_Var11,$000A,1,$7E000A,1,,0,Misc.,Temporary storage variable
Temp_Var12,$000B,1,$7E000B,1,,0,Misc.,Temporary storage variable
Temp_Var13,$000C,1,$7E000C,1,,0,Misc.,Temporary storage variable
Temp_Var14,$000D,1,$7E000D,1,,0,Misc.,Temporary storage variable
Temp_Var15,$000E,1,$7E000E,1,,0,Misc.,Temporary storage variable
Temp_Var16,$000F,1,$7E000F,1,,0,Misc.,Temporary storage variable
VBlank_Tick,$0010,1,,0,,0,Flag,"Can be used for timing, or knowing when an NMI just fired off"
,$0011,1,$7E0010,2,,0,Empty,Unused.
Horz_Scroll_Hi,$0012,1,$7E0012,1,,0,Camera,"Provides a ""High"" byte for horizontally scrolling, or could be phrased as ""current screen""
SNES note: RAM address $7E0211 is usually set in conjunction with this"
Vert_Scroll_Hi,$0013,1,$7E0013,1,,0,Camera,"Provides a ""High"" byte for vertically scrolling (only used during vertical levels!)
SNES note: RAM address $7E0217 is usually set in conjunction with this"
PPU_CTL1_Mod,$0013,0,,0,,0,Hardware Mirror,"NOT DURING GAMEPLAY, this is used as an additional modifier to PPU_CTL1"
Level_ExitToMap,$0014,1,$7E0014,1,,0,Level,"When non-zero, kicks back to map (OR to event when Player_FallToKing or Player_RescuePrincess is nonzero!)"
Counter_1,$0015,1,$7E0015,1,,0,Counter,"This value simply increments every frame, used for timing various things"
PPU_CTL2_Copy,$0016,1,$7E0016,1,,0,Hardware Mirror,"Essentially a copy of PPU_CTL2, which updates it as well, though the sprite/BG visibility setting is usually (always?) forced on
SNES: hardware mirror for INIDISP ($2100)"
Pad_Holding,$0017,1,$7E0017,1,,0,I/O,"Active player's inputs (i.e. 1P or 2P, whoever's playing) buttons being held in (continuous)"
Pad_Input,$0018,1,$7E0018,1,,0,I/O,"Active player's inputs (i.e. 1P or 2P, whoever's playing) buttons newly pressed only (one shot)"
Roulette_RowIdx,$0019,1,$7E0019,1,,0,Bonus Game,Roulette Bonus Game only obviously
Pal_Force_Set12,$001A,1,,0,,0,Palettes,"This overrides the normal palette routine of selecting by Level_Tileset and loading the color sets PalSel_Tile_Colors/PalSel_Obj_Colors.
Setting Pal_Force_Set12 to a non-zero value will select as the index instead of Level_Tileset, and then it will copy the first two sets of 16 colors from the palette data as bg / sprite colors."
PlantInfest_ACnt,$001B,1,,0,,0,Counter,Plant infestation level animation counter
VBlank_TickEn,$001C,1,,0,,0,Flag,Enables the VBlank_Tick decrement and typically other things like joypad reading
Map_Enter2PFlag,$001D,1,,0,,0,Flag,"If $00, entering level, otherwise set if entering 2P VS mode"
Map_EnterViaID,$001E,1,,0,,0,Overworld,Overrides whatever spot on the map you entered with something special (see Map_DoEnterViaID)
,$001F,1,,0,,0,Empty,Unused.
Map_IntBoxErase,$0020,1,,0,,0,Overworld,"Used for determining where in erasing the ""World X"" intro box we are"
Map_ClearLevelFXCnt,$0020,1,,0,,0,Counter,"Counter for ""clear level"" FX occurring (1-6: Poof, 7-9: Flip) (""poof""/""panel flip"")"
